Location,Latitude,Longitude,"Coordinates, ",Report Number,Last Modified,Repored On,Incident From,Incident To,Incident Type,,Description
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2922, 07-04-201706:50, 07-04-201701:25, 07-04-201701:25, 07-04-201701:25, Drug Paraphernalia,, Male staff reports Drug Paraphernalia by a known suspect.  Case closed
" OSU East Medical Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-3939, 09-02-201722:06, 09-02-201720:42, 09-02-201720:20, 09-02-201720:42, Drug Paraphernalia,," Male staff reports drug paraphernalia, suspect unknown. Case closed."
" University Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-4199, 09-16-201706:52, 09-16-201700:32, 09-16-201700:32, 09-16-201700:32, Drug Paraphernalia,, Male staff reports Possession of Drug Paraphernalia by known suspect.  Case Closed.
" OSU East Medical Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-4393, 09-24-201704:18, 09-24-201700:09, 09-24-201700:09, 09-24-201700:09, Drug Paraphernalia,, Male staff reports drug paraphernalia by a known suspect. \r\nCase closed.
" OSU East Medical Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-4423, 09-26-201701:37, 09-25-201712:46, 09-25-201712:40, 09-25-201712:46, Drug Paraphernalia,, Male staff reports Drug Paraphernalia by a known suspect. Case closed.
" University Hosptials East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-4437, 09-26-201706:19, 09-26-201704:52, 09-26-201704:52, 09-26-201704:52, Drug Paraphernalia,, Male staff reports Drug Paraphernalia by a known suspect.  Case Closed.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-4475, 09-27-201722:35, 09-27-201716:03, 09-27-201715:30, 09-27-201715:38, Drug Paraphernalia,, Female staff reports Drug Paraphernalia by an unknown suspect. Case closed.
" University Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-4704, 10-08-201705:46, 10-08-201702:01, 10-08-201702:01, 10-08-201702:01, Drug Paraphernalia,, Male staff reports Drug Paraphernalia by known suspect. Case closed.
" OSU Med Center East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-4158, 10-04-201712:48, 09-13-201718:22, 09-12-201708:15, 09-12-201709:15, Gross Sexual Imposition,, Case status changed to closed.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2460, 06-05-201707:55, 06-04-201706:14, 06-04-201706:14, 06-04-201706:30, Ill Aided,, Male staff reports Ill Aided. Case closed.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-3717, 08-24-201700:59, 08-23-201722:42, 08-23-201722:42, 08-23-201722:42, Ill Aided,, Male staff report Ill Aided.  Closed
" OSU East Hospital Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-4285, 09-20-201708:44, 09-19-201708:48, 09-19-201708:48, 09-19-201708:48, Ill Aided,, Male Staff reports Ill-Aided.  Case Closed.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-1365, 03-30-201721:04, 03-30-201714:18, 03-30-201713:24, 03-30-201714:18, Menacing,, Female staff reports Menacing by a known suspect. Case closed.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-4266, 09-19-201708:01, 09-18-201713:38, 09-18-201713:30, 09-18-201713:38, Menacing,, Male staff reports menacing by known suspect. Case closed
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0129, 01-13-201716:17, 01-13-201712:58, 01-13-201712:00, 01-13-201712:58, Possessing Drug Abuse Instruments,, Male staff reports Possession of Drug Abuse Instruments by known persons. Case closed.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0229, 01-19-201714:21, 01-19-201709:32, 01-19-201709:00, 01-19-201709:30, Possessing Drug Abuse Instruments,, Male staff reports Possessing Drug Abuse Instruments by unknown suspects. Case closed.
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0571, 02-08-201706:02, 02-08-201700:42, 02-08-201700:42, 02-08-201700:42, Possessing Drug Abuse Instruments,, Male staff reports Possessing Drug Abuse Instruments by a known suspect.  Case closed.
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0786, 02-20-201706:38, 02-19-201722:43, 02-19-201722:43, 02-19-201722:43, Possessing Drug Abuse Instruments,, Male staff reports possession of drug abuse instruments by a known suspect. Closed
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-1172, 03-17-201714:37, 03-17-201709:14, 03-17-201709:14, 03-17-201709:14, Possessing Drug Abuse Instruments,, Female staff reports Possession of Drug Abuse Instruments by an unknown suspect. Case closed.
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2191, 05-17-201706:51, 05-17-201700:38, 05-17-201700:20, 05-17-201700:38, Possessing Drug Abuse Instruments,, Male staff reports Possession of Drug Abuse Instruments by a known suspect.  Case closed.
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2361, 05-30-201706:31, 05-29-201722:37, 05-29-201722:30, 05-29-201722:35, Possessing Drug Abuse Instruments,, Male staff reports Possession of Drug Abuse Instrument by an unknown suspect.  Case closed
" OSU East Hospital Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2500, 06-08-201714:25, 06-07-201710:12, 06-07-201710:00, 06-07-201710:45, Possessing Drug Abuse Instruments,," Female staff reports possession of drugs and possession of drug abuse instruments, by unknown suspect. Case Closed."
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-4179, 09-15-201702:23, 09-14-201723:05, 09-14-201723:05, 09-14-201723:05, Possessing Drug Abuse Instruments,, Male Staff reports Possession of Drug Abuse Instruments by Known Suspect. Case closed.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0231, 01-19-201714:28, 01-19-201711:00, 01-19-201710:50, 01-19-201710:50, Possession of Drugs,, Male staff member reports Possession of Drugs by an unknown suspect. Case closed.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0360, 01-27-201707:44, 01-27-201706:23, 01-27-201706:15, 01-27-201706:15, Possession of Drugs,, Male staff reports possession of drugs by a known suspect.   Case closed
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0569, 02-08-201705:59, 02-07-201723:26, 02-07-201723:26, 02-07-201723:26, Possession of Drugs,, Male staff reports Possession of Marijuana by a known suspect.  Case closed.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0609, 02-09-201722:09, 02-09-201719:11, 02-09-201719:10, 02-09-201719:10, Possession of Drugs,, Male staff reports possession of drugs by known suspect.  Case closed.
" OSU East Medical Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0914, 02-27-201716:19, 02-27-201711:27, 02-27-201711:27, 02-27-201711:27, Possession of Drugs,, Female staff reports Possession of Drugs by an unknown suspect. Case closed.
" OSU East Medical Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0985, 03-03-201719:10, 03-03-201716:12, 03-03-201716:12, 03-03-201716:12, Possession of Drugs,, Male staff reports Possession of Drugs by a known suspect. Case closed.
" OSU East Medical Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-0985, 03-03-201719:10, 03-03-201716:12, 03-03-201716:12, 03-03-201716:12, Possession of Drugs,, Male staff reports Possession of Drugs by a known suspect. Case closed.
" University Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-1092, 03-11-201705:51, 03-10-201723:25, 03-10-201723:05, 03-10-201723:10, Possession of Drugs,, Male staff reports Possession of Drugs by known suspect. Case closed.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-1215, 03-21-201706:24, 03-21-201701:53, 03-21-201701:53, 03-21-201701:53, Possession of Drugs,, Male staff reports Possession of Drugs by a known suspect.  Case Closed.
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-1237, 03-23-201705:24, 03-23-201702:22, 03-23-201702:22, 03-23-201702:22, Possession of Drugs,, Male staff reports Possession of Drugs by known suspect.  Case closed
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-1333, 03-29-201706:05, 03-29-201704:24, 03-29-201704:24, 03-29-201704:24, Possession of Drugs,, Male staff reports Possession of Drugs by an unknown suspect.  Case closed.
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-1493, 04-06-201706:44, 04-05-201721:52, 04-05-201721:30, 04-05-201723:00, Possession of Drugs,, Male staff reports Possession of Drugs by a known suspect.  Case closed.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-1498, 04-06-201714:26, 04-06-201711:07, 04-06-201711:07, 04-06-201711:07, Possession of Drugs,, Female staff reports possession of marijuana by known suspect. Case closed
" OSU East Hospital Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-1866, 04-26-201709:53, 04-25-201711:20, 04-25-201711:15, 04-25-201711:20, Possession of Drugs,, Female staff reports possession of drugs by known suspect. Case Closed.
" University Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-1931, 04-29-201706:15, 04-28-201723:42, 04-28-201723:42, 04-28-201723:42, Possession of Drugs,, Male staff reports Possession of Drugs by known suspect.  Case closed.
" OSU East Medical Center Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2263, 05-22-201714:06, 05-22-201711:44, 05-22-201711:44, 05-22-201711:44, Possession of Drugs,, Male staff reports possession of drugs by known suspect. Case Closed.
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2354, 05-29-201704:20, 05-28-201722:27, 05-28-201722:27, 05-28-201722:27, Possession of Drugs,, Male staff reports possession of drugs. Known suspect. Closed.
" OSU East Hospital Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2425, 06-02-201714:05, 06-02-201706:03, 06-02-201706:00, 06-02-201706:00, Possession of Drugs,, Male staff reports possession of drugs by known suspect. Case Closed.
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2627, 06-13-201704:38, 06-13-201702:19, 06-13-201702:19, 06-13-201702:19, Possession of Drugs,, A male staff member reported Possession Of Drugs by an unidentified female suspect.  Case closed
" OSU Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2726, 06-20-201705:14, 06-20-201700:52, 06-20-201700:35, 06-20-201700:35, Possession of Drugs,, Male staff reports Possession of Drugs by known suspect.  Case closed
" University Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2982, 07-08-201706:51, 07-08-201702:29, 07-08-201702:29, 07-08-201702:29, Possession of Drugs,, Male staff reports Possession of Drugs by known suspect. Case closed.
" University Hospitals East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-2994, 07-09-201706:35, 07-09-201703:09, 07-09-201703:09, 07-09-201703:09, Possession of Drugs,, Male staff reports Possession of Drugs by known suspect. Case closed.
" OSU Hospital East Ohio State Campus, Columbus, Ohio",39.9706009,-82.9628067,"39.9706009, -82.9628067",17-3151, 07-21-201705:24, 07-21-201700:11, 07-21-201700:11, 07-21-201700:11, Possession of Drugs,, Male staff reports Possession of Drugs by a known suspect.  Invest pending
